تاریخ و زمان,نوع سنسور,مقدار,واحد
2026-03-18 02:17:36,رطوبت,86,%
2026-03-18 02:17:36,تابش خورشیدی,0,W/m2
2026-03-18 02:17:36,باران,290,mm
2026-03-18 02:17:36,فشار هوا,91.5,kPa
2026-03-18 02:17:36,دما,10,°C
2026-03-18 02:17:36,جهت باد,177.3,degree
2026-03-18 02:17:36,سرعت باد,5.7,km/h
2026-03-18 02:07:34,فشار هوا,91.5,kPa
2026-03-18 02:07:34,دما,10,°C
2026-03-18 02:07:34,سرعت باد,5.7,km/h
2026-03-18 02:07:34,باران,290,mm
2026-03-18 02:07:34,جهت باد,176.2,degree
2026-03-18 02:07:34,تابش خورشیدی,0,W/m2
2026-03-18 02:07:34,رطوبت,86.4,%
2026-03-18 01:57:33,سرعت باد,6.4,km/h
2026-03-18 01:57:33,جهت باد,203.5,degree
2026-03-18 01:57:33,تابش خورشیدی,0,W/m2
2026-03-18 01:57:33,فشار هوا,91.5,kPa
2026-03-18 01:57:33,باران,290,mm
2026-03-18 01:57:33,دما,9.9,°C
2026-03-18 01:57:33,رطوبت,87.3,%
2026-03-18 01:47:33,دما,10,°C
2026-03-18 01:47:33,فشار هوا,91.5,kPa
2026-03-18 01:47:33,جهت باد,204.6,degree
2026-03-18 01:47:33,تابش خورشیدی,0,W/m2
2026-03-18 01:47:33,سرعت باد,6.7,km/h
2026-03-18 01:47:33,رطوبت,87.4,%
2026-03-18 01:47:33,باران,290,mm
2026-03-18 01:37:31,رطوبت,85.8,%
2026-03-18 01:37:31,جهت باد,214.5,degree
2026-03-18 01:37:31,دما,10.1,°C
2026-03-18 01:37:31,تابش خورشیدی,0,W/m2
2026-03-18 01:37:31,فشار هوا,91.5,kPa
2026-03-18 01:37:31,سرعت باد,6.9,km/h
2026-03-18 01:37:31,باران,290,mm
2026-03-18 01:27:30,جهت باد,198.9,degree
2026-03-18 01:27:30,فشار هوا,91.5,kPa
2026-03-18 01:27:30,سرعت باد,11.4,km/h
2026-03-18 01:27:30,باران,290,mm
2026-03-18 01:27:30,دما,10,°C
2026-03-18 01:27:30,رطوبت,88,%
2026-03-18 01:27:30,تابش خورشیدی,0,W/m2
2026-03-18 01:17:29,سرعت باد,9.8,km/h
2026-03-18 01:17:29,دما,9.9,°C
2026-03-18 01:17:29,باران,290,mm
2026-03-18 01:17:29,تابش خورشیدی,0,W/m2
2026-03-18 01:17:29,فشار هوا,91.5,kPa
2026-03-18 01:17:29,جهت باد,198,degree
2026-03-18 01:17:29,رطوبت,89.9,%
2026-03-18 01:07:28,دما,10,°C
2026-03-18 01:07:28,رطوبت,90.2,%
2026-03-18 01:07:28,تابش خورشیدی,0,W/m2
2026-03-18 01:07:28,جهت باد,195.1,degree
2026-03-18 01:07:28,باران,290,mm
2026-03-18 01:07:28,فشار هوا,91.5,kPa
2026-03-18 01:07:28,سرعت باد,7.7,km/h
2026-03-18 00:57:27,فشار هوا,91.5,kPa
2026-03-18 00:57:27,جهت باد,201.3,degree
2026-03-18 00:57:27,باران,290,mm
2026-03-18 00:57:27,رطوبت,89.8,%
2026-03-18 00:57:27,تابش خورشیدی,0,W/m2
2026-03-18 00:57:27,دما,9.9,°C
2026-03-18 00:57:27,سرعت باد,7.2,km/h
2026-03-18 00:47:26,تابش خورشیدی,0,W/m2
2026-03-18 00:47:26,رطوبت,89.3,%
2026-03-18 00:47:26,باران,290,mm
2026-03-18 00:47:26,سرعت باد,9.3,km/h
2026-03-18 00:47:26,فشار هوا,91.5,kPa
2026-03-18 00:47:26,دما,9.8,°C
2026-03-18 00:47:26,جهت باد,197.4,degree
2026-03-18 00:37:25,باران,290,mm
2026-03-18 00:37:25,رطوبت,89.1,%
2026-03-18 00:37:25,فشار هوا,91.5,kPa
2026-03-18 00:37:25,دما,9.7,°C
2026-03-18 00:37:25,سرعت باد,5.3,km/h
2026-03-18 00:37:25,جهت باد,208.9,degree
2026-03-18 00:37:25,تابش خورشیدی,0,W/m2
2026-03-18 00:27:25,سرعت باد,7.7,km/h
2026-03-18 00:27:25,رطوبت,89,%
2026-03-18 00:27:25,فشار هوا,91.5,kPa
2026-03-18 00:27:25,جهت باد,223.4,degree
2026-03-18 00:27:25,تابش خورشیدی,0,W/m2
2026-03-18 00:27:25,باران,290,mm
2026-03-18 00:27:25,دما,9.7,°C
2026-03-18 00:17:23,باران,290,mm
2026-03-18 00:17:23,رطوبت,89,%
2026-03-18 00:17:23,دما,9.8,°C
2026-03-18 00:17:23,جهت باد,215.7,degree
2026-03-18 00:17:23,فشار هوا,91.5,kPa
2026-03-18 00:17:23,سرعت باد,6.6,km/h
2026-03-18 00:17:23,تابش خورشیدی,0,W/m2
2026-03-18 00:07:23,جهت باد,188.8,degree
2026-03-18 00:07:23,باران,290,mm
2026-03-18 00:07:23,رطوبت,88.5,%
2026-03-18 00:07:23,دما,9.8,°C
2026-03-18 00:07:23,سرعت باد,7.6,km/h
2026-03-18 00:07:23,فشار هوا,91.5,kPa
2026-03-18 00:07:23,تابش خورشیدی,0,W/m2
2026-03-17 23:57:21,باران,290,mm
2026-03-17 23:57:21,تابش خورشیدی,0,W/m2
2026-03-17 23:57:21,فشار هوا,91.5,kPa
2026-03-17 23:57:21,رطوبت,88.5,%
2026-03-17 23:57:21,سرعت باد,6.9,km/h
2026-03-17 23:57:21,دما,10,°C
2026-03-17 23:57:21,جهت باد,216.2,degree
2026-03-17 23:47:20,سرعت باد,7.2,km/h
2026-03-17 23:47:20,فشار هوا,91.5,kPa
2026-03-17 23:47:20,تابش خورشیدی,0,W/m2
2026-03-17 23:47:20,دما,10,°C
2026-03-17 23:47:20,جهت باد,226.4,degree
2026-03-17 23:47:20,رطوبت,88.6,%
2026-03-17 23:47:20,باران,290,mm
2026-03-17 23:37:19,سرعت باد,7.4,km/h
2026-03-17 23:37:19,جهت باد,227.9,degree
2026-03-17 23:37:19,تابش خورشیدی,0,W/m2
2026-03-17 23:37:19,باران,290,mm
2026-03-17 23:37:19,دما,10.2,°C
2026-03-17 23:37:19,رطوبت,87.9,%
2026-03-17 23:37:19,فشار هوا,91.5,kPa
2026-03-17 23:27:17,جهت باد,228.2,degree
2026-03-17 23:27:17,دما,10.5,°C
2026-03-17 23:27:17,باران,290,mm
2026-03-17 23:27:17,رطوبت,87.2,%
2026-03-17 23:27:17,سرعت باد,4.5,km/h
2026-03-17 23:27:17,فشار هوا,91.5,kPa
2026-03-17 23:27:17,تابش خورشیدی,0,W/m2
2026-03-17 23:17:16,دما,10.3,°C
2026-03-17 23:17:16,باران,290,mm
2026-03-17 23:17:16,سرعت باد,8.3,km/h
2026-03-17 23:17:16,رطوبت,89.4,%
2026-03-17 23:17:16,فشار هوا,91.5,kPa
2026-03-17 23:17:16,تابش خورشیدی,0,W/m2
2026-03-17 23:17:16,جهت باد,227.2,degree
2026-03-17 23:07:15,تابش خورشیدی,0,W/m2
2026-03-17 23:07:15,رطوبت,90,%
2026-03-17 23:07:15,سرعت باد,5.2,km/h
2026-03-17 23:07:15,باران,290,mm
2026-03-17 23:07:15,دما,10.3,°C
2026-03-17 23:07:15,فشار هوا,91.5,kPa
2026-03-17 23:07:15,جهت باد,253.1,degree
2026-03-17 22:57:14,تابش خورشیدی,0,W/m2
2026-03-17 22:57:14,جهت باد,246.1,degree
2026-03-17 22:57:14,رطوبت,89.8,%
2026-03-17 22:57:14,باران,290,mm
2026-03-17 22:57:14,دما,10.2,°C
2026-03-17 22:57:14,فشار هوا,91.5,kPa
2026-03-17 22:57:14,سرعت باد,3.6,km/h
2026-03-17 22:47:13,دما,10.2,°C
2026-03-17 22:47:13,سرعت باد,3,km/h
2026-03-17 22:47:13,فشار هوا,91.5,kPa
2026-03-17 22:47:13,رطوبت,89.1,%
2026-03-17 22:47:13,تابش خورشیدی,0,W/m2
2026-03-17 22:47:13,باران,290,mm
2026-03-17 22:47:13,جهت باد,227.1,degree
2026-03-17 22:37:12,سرعت باد,5.3,km/h
2026-03-17 22:37:12,رطوبت,90.1,%
2026-03-17 22:37:12,جهت باد,223.4,degree
2026-03-17 22:37:12,تابش خورشیدی,0,W/m2
2026-03-17 22:37:12,دما,10.1,°C
2026-03-17 22:37:12,باران,290,mm
2026-03-17 22:37:12,فشار هوا,91.5,kPa
2026-03-17 22:27:11,تابش خورشیدی,0,W/m2
2026-03-17 22:27:11,سرعت باد,2.7,km/h
2026-03-17 22:27:11,باران,290,mm
2026-03-17 22:27:11,فشار هوا,91.5,kPa
2026-03-17 22:27:11,جهت باد,238,degree
2026-03-17 22:27:11,رطوبت,90.6,%
2026-03-17 22:27:11,دما,9.9,°C
2026-03-17 22:17:10,دما,9.8,°C
2026-03-17 22:17:10,سرعت باد,3.5,km/h
2026-03-17 22:17:10,باران,290,mm
2026-03-17 22:17:10,رطوبت,90.4,%
2026-03-17 22:17:10,فشار هوا,91.4,kPa
2026-03-17 22:17:10,تابش خورشیدی,0,W/m2
2026-03-17 22:17:10,جهت باد,242.6,degree
2026-03-17 22:07:09,رطوبت,89,%
2026-03-17 22:07:09,باران,290,mm
2026-03-17 22:07:09,فشار هوا,91.4,kPa
2026-03-17 22:07:09,سرعت باد,3,km/h
2026-03-17 22:07:09,جهت باد,224.1,degree
2026-03-17 22:07:09,تابش خورشیدی,0,W/m2
2026-03-17 22:07:09,دما,10,°C
2026-03-17 21:57:08,جهت باد,195.6,degree
2026-03-17 21:57:08,فشار هوا,91.4,kPa
2026-03-17 21:57:08,سرعت باد,1.9,km/h
2026-03-17 21:57:08,باران,290,mm
2026-03-17 21:57:08,رطوبت,88.1,%
2026-03-17 21:57:08,دما,10.3,°C
2026-03-17 21:57:08,تابش خورشیدی,0,W/m2
2026-03-17 21:47:07,تابش خورشیدی,0,W/m2
2026-03-17 21:47:07,فشار هوا,91.4,kPa
2026-03-17 21:47:07,سرعت باد,2,km/h
2026-03-17 21:47:07,باران,290,mm
2026-03-17 21:47:07,جهت باد,248.3,degree
2026-03-17 21:47:07,رطوبت,88.2,%
2026-03-17 21:47:07,دما,10.7,°C
2026-03-17 21:37:06,دما,10.8,°C
2026-03-17 21:37:06,تابش خورشیدی,0,W/m2
2026-03-17 21:37:06,رطوبت,88.3,%
2026-03-17 21:37:06,باران,290,mm
2026-03-17 21:37:06,سرعت باد,0.9,km/h
2026-03-17 21:37:06,جهت باد,102.6,degree
2026-03-17 21:37:06,فشار هوا,91.4,kPa
2026-03-17 21:27:05,تابش خورشیدی,0,W/m2
2026-03-17 21:27:05,فشار هوا,91.4,kPa
2026-03-17 21:27:05,رطوبت,89.5,%
2026-03-17 21:27:05,باران,290,mm
2026-03-17 21:27:05,دما,10.7,°C
2026-03-17 21:27:05,سرعت باد,3.1,km/h
2026-03-17 21:27:05,جهت باد,232.1,degree
2026-03-17 21:17:04,سرعت باد,1.6,km/h
2026-03-17 21:17:04,فشار هوا,91.4,kPa
2026-03-17 21:17:04,باران,290,mm
2026-03-17 21:17:04,جهت باد,293.9,degree
2026-03-17 21:17:04,تابش خورشیدی,0,W/m2
2026-03-17 21:17:04,رطوبت,89.7,%
2026-03-17 21:17:04,دما,10.7,°C
2026-03-17 21:07:03,جهت باد,286.4,degree
2026-03-17 21:07:03,فشار هوا,91.4,kPa
2026-03-17 21:07:03,سرعت باد,2.8,km/h
2026-03-17 21:07:03,باران,290,mm
2026-03-17 21:07:03,دما,10.5,°C
2026-03-17 21:07:03,تابش خورشیدی,0,W/m2
2026-03-17 21:07:03,رطوبت,89,%
2026-03-17 20:57:02,فشار هوا,91.4,kPa
2026-03-17 20:57:02,جهت باد,231.1,degree
2026-03-17 20:57:02,باران,290,mm
2026-03-17 20:57:02,دما,10.9,°C
2026-03-17 20:57:02,رطوبت,89.2,%
2026-03-17 20:57:02,سرعت باد,3.9,km/h
2026-03-17 20:57:02,تابش خورشیدی,0,W/m2
2026-03-17 20:47:01,رطوبت,89,%
2026-03-17 20:47:01,جهت باد,231.6,degree
2026-03-17 20:47:01,دما,10.9,°C
2026-03-17 20:47:01,فشار هوا,91.4,kPa
2026-03-17 20:47:01,تابش خورشیدی,0,W/m2
2026-03-17 20:47:01,سرعت باد,6,km/h
2026-03-17 20:47:01,باران,290,mm
2026-03-17 20:37:00,فشار هوا,91.4,kPa
2026-03-17 20:37:00,رطوبت,88.3,%
2026-03-17 20:37:00,سرعت باد,6.8,km/h
2026-03-17 20:37:00,دما,11,°C
2026-03-17 20:37:00,جهت باد,227.1,degree
2026-03-17 20:37:00,باران,290,mm
2026-03-17 20:37:00,تابش خورشیدی,0,W/m2
2026-03-17 20:26:59,تابش خورشیدی,0,W/m2
2026-03-17 20:26:59,رطوبت,87.1,%
2026-03-17 20:26:59,فشار هوا,91.4,kPa
2026-03-17 20:26:59,سرعت باد,1,km/h
2026-03-17 20:26:59,دما,11.3,°C
2026-03-17 20:26:59,باران,290,mm
2026-03-17 20:26:59,جهت باد,181.7,degree
2026-03-17 20:16:58,جهت باد,199.9,degree
2026-03-17 20:16:58,فشار هوا,91.3,kPa
2026-03-17 20:16:58,سرعت باد,6.7,km/h
2026-03-17 20:16:58,تابش خورشیدی,0,W/m2
2026-03-17 20:16:58,باران,290,mm
2026-03-17 20:16:58,دما,11.6,°C
2026-03-17 20:16:58,رطوبت,85.4,%
2026-03-17 20:06:57,رطوبت,82.1,%
2026-03-17 20:06:57,باران,290,mm
2026-03-17 20:06:57,سرعت باد,3.6,km/h
2026-03-17 20:06:57,دما,12.4,°C
2026-03-17 20:06:57,تابش خورشیدی,0,W/m2
2026-03-17 20:06:57,فشار هوا,91.3,kPa
2026-03-17 20:06:57,جهت باد,154.5,degree
2026-03-17 19:56:56,جهت باد,124.8,degree
2026-03-17 19:56:56,باران,290,mm
2026-03-17 19:56:56,دما,12.8,°C
2026-03-17 19:56:56,فشار هوا,91.3,kPa
2026-03-17 19:56:56,سرعت باد,1.9,km/h
2026-03-17 19:56:56,رطوبت,79.6,%
2026-03-17 19:56:56,تابش خورشیدی,0,W/m2
2026-03-17 19:46:56,جهت باد,91.7,degree
2026-03-17 19:46:56,دما,12.8,°C
2026-03-17 19:46:56,باران,290,mm
2026-03-17 19:46:56,سرعت باد,8.4,km/h
2026-03-17 19:46:56,تابش خورشیدی,0,W/m2
2026-03-17 19:46:56,فشار هوا,91.3,kPa
2026-03-17 19:46:56,رطوبت,79.6,%
2026-03-17 19:36:55,فشار هوا,91.3,kPa
2026-03-17 19:36:55,رطوبت,78.3,%
2026-03-17 19:36:55,جهت باد,121.3,degree
2026-03-17 19:36:55,دما,12.6,°C
2026-03-17 19:36:55,تابش خورشیدی,0,W/m2
2026-03-17 19:36:55,سرعت باد,11.8,km/h
2026-03-17 19:36:55,باران,290,mm
2026-03-17 19:26:54,جهت باد,263.7,degree
2026-03-17 19:26:54,تابش خورشیدی,0,W/m2
2026-03-17 19:26:54,رطوبت,79.4,%
2026-03-17 19:26:54,فشار هوا,91.2,kPa
2026-03-17 19:26:54,باران,290,mm
2026-03-17 19:26:54,سرعت باد,1,km/h
2026-03-17 19:26:54,دما,12.5,°C
2026-03-17 19:16:52,باران,290,mm
2026-03-17 19:16:52,دما,12.9,°C
2026-03-17 19:16:52,سرعت باد,1.6,km/h
2026-03-17 19:16:52,تابش خورشیدی,0,W/m2
2026-03-17 19:16:52,جهت باد,2,degree
2026-03-17 19:16:52,فشار هوا,91.2,kPa
2026-03-17 19:16:52,رطوبت,78.7,%
2026-03-17 19:06:51,رطوبت,79,%
2026-03-17 19:06:51,باران,290,mm
2026-03-17 19:06:51,فشار هوا,91.2,kPa
2026-03-17 19:06:51,دما,13.1,°C
2026-03-17 19:06:51,تابش خورشیدی,0,W/m2
2026-03-17 19:06:51,سرعت باد,4,km/h
2026-03-17 19:06:51,جهت باد,337.6,degree
2026-03-17 18:56:50,فشار هوا,91.2,kPa
2026-03-17 18:56:50,جهت باد,302.8,degree
2026-03-17 18:56:50,رطوبت,81.3,%
2026-03-17 18:56:50,دما,13.1,°C
2026-03-17 18:56:50,باران,290,mm
2026-03-17 18:56:50,سرعت باد,1,km/h
2026-03-17 18:56:50,تابش خورشیدی,0,W/m2
2026-03-17 18:46:49,رطوبت,82.6,%
2026-03-17 18:46:49,باران,290,mm
2026-03-17 18:46:49,دما,13,°C
2026-03-17 18:46:49,فشار هوا,91.2,kPa
2026-03-17 18:46:49,سرعت باد,0.2,km/h
2026-03-17 18:46:49,جهت باد,20.6,degree
2026-03-17 18:46:49,تابش خورشیدی,0,W/m2
2026-03-17 18:36:48,رطوبت,83.2,%
2026-03-17 18:36:48,باران,290,mm
2026-03-17 18:36:48,جهت باد,320.6,degree
2026-03-17 18:36:48,تابش خورشیدی,0,W/m2
2026-03-17 18:36:48,سرعت باد,0.5,km/h
2026-03-17 18:36:48,دما,13.1,°C
2026-03-17 18:36:48,فشار هوا,91.2,kPa
2026-03-17 18:26:47,جهت باد,289.2,degree
2026-03-17 18:26:47,فشار هوا,91.2,kPa
2026-03-17 18:26:47,رطوبت,84.4,%
2026-03-17 18:26:47,تابش خورشیدی,0,W/m2
2026-03-17 18:26:47,باران,290,mm
2026-03-17 18:26:47,سرعت باد,3.8,km/h
2026-03-17 18:26:47,دما,13.1,°C
2026-03-17 18:16:46,جهت باد,268.5,degree
2026-03-17 18:16:46,تابش خورشیدی,0,W/m2
2026-03-17 18:16:46,دما,13.1,°C
2026-03-17 18:16:46,فشار هوا,91.2,kPa
2026-03-17 18:16:46,باران,290,mm
2026-03-17 18:16:46,رطوبت,84.9,%
2026-03-17 18:16:46,سرعت باد,7.2,km/h
2026-03-17 18:06:45,تابش خورشیدی,0,W/m2
2026-03-17 18:06:45,باران,290,mm
2026-03-17 18:06:45,فشار هوا,91.2,kPa
2026-03-17 18:06:45,جهت باد,222.8,degree
2026-03-17 18:06:45,رطوبت,84.5,%
2026-03-17 18:06:45,دما,13.3,°C
2026-03-17 18:06:45,سرعت باد,2.8,km/h
2026-03-17 17:56:44,رطوبت,84,%
2026-03-17 17:56:44,دما,13.4,°C
2026-03-17 17:56:44,جهت باد,273.1,degree
2026-03-17 17:56:44,تابش خورشیدی,0,W/m2
2026-03-17 17:56:44,فشار هوا,91.2,kPa
2026-03-17 17:56:44,باران,290,mm
2026-03-17 17:56:44,سرعت باد,2.6,km/h
2026-03-17 17:46:43,رطوبت,83.5,%
2026-03-17 17:46:43,فشار هوا,91.1,kPa
2026-03-17 17:46:43,تابش خورشیدی,4,W/m2
2026-03-17 17:46:43,دما,13.4,°C
2026-03-17 17:46:43,سرعت باد,1,km/h
2026-03-17 17:46:43,جهت باد,19,degree
2026-03-17 17:46:43,باران,290,mm
2026-03-17 17:36:42,سرعت باد,3,km/h
2026-03-17 17:36:42,تابش خورشیدی,17,W/m2
2026-03-17 17:36:42,رطوبت,83.6,%
2026-03-17 17:36:42,دما,13.5,°C
2026-03-17 17:36:42,باران,290,mm
2026-03-17 17:36:42,جهت باد,301.9,degree
2026-03-17 17:36:42,فشار هوا,91.1,kPa
2026-03-17 17:26:42,دما,13.5,°C
2026-03-17 17:26:42,باران,290,mm
2026-03-17 17:26:42,تابش خورشیدی,23,W/m2
2026-03-17 17:26:42,جهت باد,324.4,degree
2026-03-17 17:26:42,فشار هوا,91.1,kPa
2026-03-17 17:26:42,رطوبت,83.1,%
2026-03-17 17:26:42,سرعت باد,5.2,km/h
2026-03-17 17:16:40,تابش خورشیدی,22,W/m2
2026-03-17 17:16:40,فشار هوا,91.2,kPa
2026-03-17 17:16:40,سرعت باد,3.2,km/h
2026-03-17 17:16:40,جهت باد,309.6,degree
2026-03-17 17:16:40,دما,13.2,°C
2026-03-17 17:16:40,باران,290,mm
2026-03-17 17:16:40,رطوبت,84.4,%
2026-03-17 17:06:39,دما,13.1,°C
2026-03-17 17:06:39,تابش خورشیدی,32,W/m2
2026-03-17 17:06:39,فشار هوا,91.1,kPa
2026-03-17 17:06:39,سرعت باد,6.9,km/h
2026-03-17 17:06:39,جهت باد,326.4,degree
2026-03-17 17:06:39,رطوبت,83.7,%
2026-03-17 17:06:39,باران,290,mm
2026-03-17 16:56:38,دما,13,°C
2026-03-17 16:56:38,سرعت باد,2.3,km/h
2026-03-17 16:56:38,جهت باد,355.4,degree
2026-03-17 16:56:38,باران,290,mm
2026-03-17 16:56:38,تابش خورشیدی,19,W/m2
2026-03-17 16:56:38,رطوبت,83.2,%
2026-03-17 16:56:38,فشار هوا,91.1,kPa
2026-03-17 16:46:37,جهت باد,32.2,degree
2026-03-17 16:46:37,فشار هوا,91.1,kPa
2026-03-17 16:46:37,رطوبت,82.8,%
2026-03-17 16:46:37,سرعت باد,4.1,km/h
2026-03-17 16:46:37,دما,13,°C
2026-03-17 16:46:37,باران,290,mm
2026-03-17 16:46:37,تابش خورشیدی,25,W/m2
2026-03-17 16:36:37,باران,290,mm
2026-03-17 16:36:37,جهت باد,73.3,degree
2026-03-17 16:36:37,رطوبت,84.9,%
2026-03-17 16:36:37,سرعت باد,9,km/h
2026-03-17 16:36:37,تابش خورشیدی,39,W/m2
2026-03-17 16:36:37,فشار هوا,91.1,kPa
2026-03-17 16:36:37,دما,13.2,°C
2026-03-17 16:26:35,فشار هوا,91.1,kPa
2026-03-17 16:26:35,باران,290,mm
2026-03-17 16:26:35,رطوبت,85,%
2026-03-17 16:26:35,سرعت باد,5.6,km/h
2026-03-17 16:26:35,دما,13.3,°C
2026-03-17 16:26:35,جهت باد,47.2,degree
2026-03-17 16:26:35,تابش خورشیدی,38,W/m2
2026-03-17 16:16:34,تابش خورشیدی,38,W/m2
2026-03-17 16:16:34,سرعت باد,3.6,km/h
2026-03-17 16:16:34,دما,13.4,°C
2026-03-17 16:16:34,رطوبت,83.6,%
2026-03-17 16:16:34,باران,290,mm
2026-03-17 16:16:34,فشار هوا,91.1,kPa
2026-03-17 16:16:34,جهت باد,35.5,degree
2026-03-17 16:06:33,سرعت باد,6.8,km/h
2026-03-17 16:06:33,دما,13.5,°C
2026-03-17 16:06:33,تابش خورشیدی,74,W/m2
2026-03-17 16:06:33,رطوبت,83.1,%
2026-03-17 16:06:33,فشار هوا,91.1,kPa
2026-03-17 16:06:33,جهت باد,338.8,degree
2026-03-17 16:06:33,باران,290,mm
2026-03-17 15:56:32,فشار هوا,91.1,kPa
2026-03-17 15:56:32,تابش خورشیدی,115,W/m2
2026-03-17 15:56:32,جهت باد,353.6,degree
2026-03-17 15:56:32,رطوبت,82.3,%
2026-03-17 15:56:32,باران,290,mm
2026-03-17 15:56:32,دما,13.6,°C
2026-03-17 15:56:32,سرعت باد,9.6,km/h
2026-03-17 15:46:31,سرعت باد,11.6,km/h
2026-03-17 15:46:31,رطوبت,83.6,%
2026-03-17 15:46:31,تابش خورشیدی,146,W/m2
2026-03-17 15:46:31,دما,13.2,°C
2026-03-17 15:46:31,باران,290,mm
2026-03-17 15:46:31,فشار هوا,91.1,kPa
2026-03-17 15:46:31,جهت باد,353.6,degree
2026-03-17 15:36:31,جهت باد,338.4,degree
2026-03-17 15:36:31,فشار هوا,91.1,kPa
2026-03-17 15:36:31,رطوبت,84.8,%
2026-03-17 15:36:31,دما,13.9,°C
2026-03-17 15:36:31,تابش خورشیدی,41,W/m2
2026-03-17 15:36:31,سرعت باد,12.1,km/h
2026-03-17 15:36:31,باران,289.8,mm
2026-03-17 15:26:30,تابش خورشیدی,14,W/m2
2026-03-17 15:26:30,جهت باد,345.6,degree
2026-03-17 15:26:30,رطوبت,81.3,%
2026-03-17 15:26:30,باران,289.8,mm
2026-03-17 15:26:30,سرعت باد,8.9,km/h
2026-03-17 15:26:30,دما,14,°C
2026-03-17 15:26:30,فشار هوا,91.1,kPa
2026-03-17 15:16:28,تابش خورشیدی,20,W/m2
2026-03-17 15:16:28,دما,14.7,°C
2026-03-17 15:16:28,جهت باد,278.7,degree
2026-03-17 15:16:28,باران,289.2,mm
2026-03-17 15:16:28,فشار هوا,91,kPa
2026-03-17 15:16:28,سرعت باد,9.4,km/h
2026-03-17 15:16:28,رطوبت,74.9,%
2026-03-17 15:06:27,سرعت باد,11.9,km/h
2026-03-17 15:06:27,رطوبت,73.3,%
2026-03-17 15:06:27,جهت باد,263.6,degree
2026-03-17 15:06:27,باران,288.6,mm
2026-03-17 15:06:27,تابش خورشیدی,18,W/m2
2026-03-17 15:06:27,دما,15.4,°C
2026-03-17 15:06:27,فشار هوا,91,kPa
2026-03-17 14:56:26,تابش خورشیدی,24,W/m2
2026-03-17 14:56:26,سرعت باد,9.1,km/h
2026-03-17 14:56:26,فشار هوا,90.9,kPa
2026-03-17 14:56:26,رطوبت,67.2,%
2026-03-17 14:56:26,جهت باد,289.7,degree
2026-03-17 14:56:26,باران,288.6,mm
2026-03-17 14:56:26,دما,16.8,°C
2026-03-17 14:46:25,سرعت باد,10.5,km/h
2026-03-17 14:46:25,جهت باد,221.9,degree
2026-03-17 14:46:25,فشار هوا,90.9,kPa
2026-03-17 14:46:25,تابش خورشیدی,23,W/m2
2026-03-17 14:46:25,دما,18.9,°C
2026-03-17 14:46:25,باران,288.6,mm
2026-03-17 14:46:25,رطوبت,64.7,%
2026-03-17 14:36:25,جهت باد,212.5,degree
2026-03-17 14:36:25,تابش خورشیدی,21,W/m2
2026-03-17 14:36:25,رطوبت,61.4,%
