تاریخ و زمان,نوع سنسور,مقدار,واحد
2026-03-18 03:27:42,باران,290,mm
2026-03-18 03:27:42,جهت باد,135.4,degree
2026-03-18 03:27:42,فشار هوا,91.5,kPa
2026-03-18 03:27:42,دما,9.6,°C
2026-03-18 03:27:42,رطوبت,87.2,%
2026-03-18 03:27:42,تابش خورشیدی,0,W/m2
2026-03-18 03:27:42,سرعت باد,0.3,km/h
2026-03-18 03:17:41,دما,9.7,°C
2026-03-18 03:17:41,سرعت باد,5.7,km/h
2026-03-18 03:17:41,باران,290,mm
2026-03-18 03:17:41,فشار هوا,91.5,kPa
2026-03-18 03:17:41,جهت باد,141.9,degree
2026-03-18 03:17:41,رطوبت,86,%
2026-03-18 03:17:41,تابش خورشیدی,0,W/m2
2026-03-18 03:07:40,تابش خورشیدی,0,W/m2
2026-03-18 03:07:40,باران,290,mm
2026-03-18 03:07:40,جهت باد,137,degree
2026-03-18 03:07:40,دما,9.6,°C
2026-03-18 03:07:40,رطوبت,85.2,%
2026-03-18 03:07:40,فشار هوا,91.5,kPa
2026-03-18 03:07:40,سرعت باد,3.7,km/h
2026-03-18 02:57:39,جهت باد,146.5,degree
2026-03-18 02:57:39,دما,9.7,°C
2026-03-18 02:57:39,سرعت باد,4.5,km/h
2026-03-18 02:57:39,تابش خورشیدی,0,W/m2
2026-03-18 02:57:39,فشار هوا,91.5,kPa
2026-03-18 02:57:39,رطوبت,85.4,%
2026-03-18 02:57:39,باران,290,mm
2026-03-18 02:47:38,رطوبت,85.3,%
2026-03-18 02:47:38,جهت باد,141.3,degree
2026-03-18 02:47:38,باران,290,mm
2026-03-18 02:47:38,فشار هوا,91.5,kPa
2026-03-18 02:47:38,دما,9.8,°C
2026-03-18 02:47:38,سرعت باد,4.8,km/h
2026-03-18 02:47:38,تابش خورشیدی,0,W/m2
2026-03-18 02:37:37,تابش خورشیدی,0,W/m2
2026-03-18 02:37:37,جهت باد,190.9,degree
2026-03-18 02:37:37,فشار هوا,91.5,kPa
2026-03-18 02:37:37,دما,10,°C
2026-03-18 02:37:37,باران,290,mm
2026-03-18 02:37:37,رطوبت,85.6,%
2026-03-18 02:37:37,سرعت باد,5,km/h
2026-03-18 02:27:36,فشار هوا,91.5,kPa
2026-03-18 02:27:36,جهت باد,185.3,degree
2026-03-18 02:27:36,سرعت باد,6.2,km/h
2026-03-18 02:27:36,تابش خورشیدی,0,W/m2
2026-03-18 02:27:36,باران,290,mm
2026-03-18 02:27:36,دما,10,°C
2026-03-18 02:27:36,رطوبت,86.2,%
